temperature,run_number,tags,summary,latency_ms,timestamp_utc
0.7,1,"[""signal failure"", ""rail service"", ""blue line""]",Major delays and disrupted Blue Line service near Santa Clara station.,169575,2026-09-04T14:43:42.782625+00:00
0.7,2,"[""signal failure"", ""santa clara station"", ""blue line service disruption""]",Signal failure at Santa Clara Station disrupted Blue Line service during morning commute.,160552,2026-09-04T14:46:23.339457+00:00
0.7,3,"[""signal failure"", ""morning commute"", ""blue line""]",Signal failure near Santa Clara station caused major delays and disrupted Blue Line service during morning commute.,119146,2026-09-04T14:48:22.481213+00:00
0.7,4,"[""vta signal failure"", ""santa clara station"", ""blue line delays""]",Signal failure at Santa Clara Station disrupted Blue Line service during morning commute.,136499,2026-09-04T14:50:38.994894+00:00
0.7,5,"[""signal failure"", ""morning commute"", ""blue line""]",Signal failure near Santa Clara caused major delays and disrupted Blue Line service during morning commute.,97660,2026-09-04T14:52:16.659852+00:00
0.7,6,"[""signal failure"", ""blue line"", ""vta blue line""]",Signal failure near Santa Clara station disrupted Blue Line service during morning commute.,133340,2026-09-04T14:54:29.994936+00:00
0.7,7,"[""signal failure"", ""santa clara station"", ""blue line""]",Signal failure near Santa Clara station disrupted Blue Line light rail service during morning commute.,130850,2026-09-04T14:56:40.854563+00:00
0.7,8,"[""signal failure"", ""blue line"", ""vta blue line""]",Signal failure near Santa Clara caused major delays and disrupted Blue Line service during morning commute.,106221,2026-09-04T14:58:27.085345+00:00
0.7,9,"[""signal failure"", ""delays"", ""blue line""]",Signal failure at Santa Clara station disrupted Blue Line service during morning commute.,76401,2026-09-04T14:59:43.501047+00:00
0.7,10,"[""signal failure"", ""rail service disruption"", ""blue line""]",Signal failure near Santa Clara station disrupted Blue Line rail service during morning commute.,85833,2026-09-04T15:01:09.347489+00:00
0.7,11,"[""signal failure"", ""delays"", ""blue line""]",Signal failure at Santa Clara station disrupted Blue Line service during morning commute.,103304,2026-09-04T15:02:53.017049+00:00
0.7,12,"[""signal failure"", ""santa clara station"", ""blue line""]",Signal failure near Santa Clara station disrupted Blue Line service during morning commute.,103724,2026-09-04T15:04:36.758198+00:00
0.7,13,"[""signal failure"", ""morning commute"", ""blue line""]",Signal failure near Santa Clara station caused delays and disrupted Blue Line service during morning commute.,102975,2026-09-04T15:06:19.749831+00:00
0.7,14,"[""signal failure"", ""commute delay"", ""blue line""]",VTA Blue Line signal failure near Santa Clara disrupted morning commute.,111826,2026-09-04T15:08:11.589098+00:00
0.7,15,"[""signal failure"", ""santa clara station"", ""blue line""]",VTA Blue Line Signal Failure Disrupts Service at Santa Clara Station.,134390,2026-09-04T15:10:26.163714+00:00
0.7,16,"[""santa clara station"", ""signal failure"", ""blue line""]",Signal failure near Santa Clara station disrupted Blue Line service during morning commute.,99291,2026-09-04T15:12:05.477196+00:00
0.7,17,"[""signal failure"", ""morning commute"", ""blue line""]",Signal failure near Santa Clara station caused major delays and disrupted Blue Line service during morning commute.,78530,2026-09-04T15:13:24.179315+00:00
0.7,18,"[""signal failure"", ""santa clara"", ""blue line""]",Signal failure near Santa Clara disrupted Blue Line service during morning commute.,151569,2026-09-04T15:15:55.768529+00:00
0.7,19,"[""blue line"", ""signal failure"", ""vta blue line""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,145394,2026-09-04T15:18:21.175211+00:00
0.7,20,"[""signal failure"", ""santa clara station"", ""blue line""]",Signal failure near Santa Clara Station disrupted Blue Line service during morning commute.,119151,2026-09-04T15:20:20.354584+00:00
