turn_ceiling,run,completed,classification,first_valid_attempt,planner_attempts,turn_count,latency_ms,tags,summary
2,1,False,valid_first_attempt,1,1,3,3985,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,2,False,valid_first_attempt,1,1,3,1232,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,3,False,valid_first_attempt,1,1,3,1248,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,4,False,valid_first_attempt,1,1,3,1251,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,5,False,valid_first_attempt,1,1,3,1215,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,6,False,valid_first_attempt,1,1,3,1200,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,7,False,valid_first_attempt,1,1,3,1199,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,8,False,valid_first_attempt,1,1,3,1204,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,9,False,valid_first_attempt,1,1,3,1198,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,10,False,valid_first_attempt,1,1,3,1201,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,11,False,valid_first_attempt,1,1,3,1213,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,12,False,valid_first_attempt,1,1,3,1204,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,13,False,valid_first_attempt,1,1,3,1207,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,14,False,valid_first_attempt,1,1,3,1240,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,15,False,valid_first_attempt,1,1,3,1206,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,16,False,valid_first_attempt,1,1,3,1206,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,17,False,valid_first_attempt,1,1,3,1204,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,18,False,valid_first_attempt,1,1,3,1218,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
2,19,False,valid_first_attempt,1,1,3,1212,"[""signal failure"", ""Blue Line"", ""Santa Clara""]",Signal failure disrupts Blue Line service near Santa Clara
